Month,Time,Azimuth,Altitude
June,16:00,-104.19,38.81
June,16:30,-97.49,34.5
June,17:00,-91.2,30.12
June,17:30,-85.19,25.74
June,18:00,-79.36,21.4
June,18:30,-73.64,17.14
June,19:00,-67.95,13.01
June,19:30,-62.22,9.06
June,20:00,-56.42,5.34
June,20:30,-50.49,1.96
June,21:00,-44.41,-1.37
June,21:30,-38.15,-4.4
June,22:00,-31.71,-6.94
June,22:30,-25.08,-9.04
June,23:00,-18.29,-10.67
June,23:30,-11.36,-11.8
July ,0:00,-5.85,-14.33
July ,0:30,1.36,-14.5
July,1:00,8.56,-14.12
July,1:30,15.69,-13.2
July,2:00,22.69,-11.75
July,2:30,29.53,-9.81
July,3:00,36.17,-7.42
July,3:30,42.62,-4.61
July,4:00,48.86,-1.31
July,4:30,54.94,2.21
July,5:00,60.87,5.79
July,5:30,66.69,9.67
July,6:00,72.45,13.76
July,6:30,78.22,17.99
July,7:00,84.06,22.32
July,7:30,90.04,26.7
July,8:00,96.25,31.08
July,8:30,102.81,35.4
July,9:00,109.84,39.61
July,9:30,117.49,43.63
July,10:00,125.92,47.37
July,10:30,135.29,50.7
July,11:00,145.72,53.49
July,11:30,157.23,55.59
July,12:00,169.6,56.85
July,12:30,-177.57,57.15
July,13:00,-164.85,56.48
July,13:30,-152.76,54.89
July,14:00,-141.65,52.51
July,14:30,-131.63,49.5
July,15:00,-122.63,46
July,15:30,-114.51,42.14
July,16:00,-107.12,38.04
July,16:30,-100.28,33.78
July,17:00,-93.87,29.43
July,17:30,-87.75,25.04
July,18:00,-81.84,20.68
July,18:30,-76.04,16.38
July,19:00,-70.28,12.2
July,19:30,-64.5,8.18
July,20:00,-58.64,4.39
July,20:30,-52.66,0.99
July,21:00,-46.53,-2.64
July,21:30,-40.21,-5.72
July,22:00,-33.69,-8.37
July,22:30,-26.97,-10.6
July,23:00,-20.07,-12.36
July,23:30,-13.01,-13.61
August,0:00,-5.88,-22.02
August,0:30,1.98,-22.17
August,1:00,9.83,-21.72
August,1:30,17.57,-20.68
August,2:00,25.13,-19.08
August,2:30,32.46,-16.96
August,3:00,39.54,-14.38
August,3:30,46.36,-11.38
August,4:00,52.93,-8.02
August,4:30,59.28,-4.34
August,5:00,65.45,0.04
August,5:30,71.49,3.77
August,6:00,77.46,7.9
August,6:30,83.41,12.19
August,7:00,89.42,16.56
August,7:30,95.57,20.93
August,8:00,101.94,25.26
August,8:30,108.62,29.49
August,9:00,115.72,33.55
August,9:30,123.34,37.37
August,10:00,131.59,40.85
August,10:30,140.56,43.9
August,11:00,150.28,46.39
August,11:30,160.69,48.21
August,12:00,171.63,49.26
August,12:30,-177.17,49.48
August,13:00,-166.07,48.84
August,13:30,-155.36,47.39
August,14:00,-145.29,45.21
August,14:30,-135.95,42.43
August,15:00,-127.35,39.15
August,15:30,-119.43,35.48
August,16:00,-112.08,31.53
August,16:30,-105.21,27.38
August,17:00,-98.7,23.09
August,17:30,-92.45,18.73
August,18:00,-86.38,14.35
August,18:30,-80.41,10.02
August,19:00,-74.46,5.79
August,19:30,-68.46,1.8
August,20:00,-62.36,-2.38
August,20:30,-56.11,-6.23
August,21:00,-49.65,-9.75
August,21:30,-42.96,-12.94
August,22:00,-36.01,-15.73
August,22:30,-28.8,-18.09
August,23:00,-21.34,-19.95
August,23:30,-13.68,-21.28
September,0:00,-3.76,-33.25
September,0:30,5.2,-33.19
September,1:00,14.08,-32.46
September,1:30,22.74,-31.07
September,2:00,31.09,-29.08
September,2:30,39.07,-26.55
September,3:00,46.66,-23.56
September,3:30,53.87,-20.18
September,4:00,60.74,-16.49
September,4:30,67.32,-12.53
September,5:00,73.68,-8.38
September,5:30,79.87,-4.07
September,6:00,85.97,0.66
September,6:30,92.05,4.77
September,7:00,98.18,9.07
September,7:30,104.43,13.35
September,8:00,110.88,17.51
September,8:30,117.6,21.51
September,9:00,124.66,25.26
September,9:30,132.13,28.7
September,10:00,140.05,31.74
September,10:30,148.45,34.3
September,11:00,157.3,36.3
September,11:30,166.52,37.67
September,12:00,175.99,38.33
September,12:30,-174.46,38.28
September,13:00,-165.01,37.49
September,13:30,-155.84,36.02
September,14:00,-147.06,33.93
September,14:30,-138.74,31.28
September,15:00,-130.89,28.17
September,15:30,-123.49,24.67
September,16:00,-116.49,20.88
September,16:30,-109.82,16.85
September,17:00,-103.41,12.66
September,17:30,-97.18,8.38
September,18:00,-91.07,4.09
September,18:30,-84.99,0.07
September,19:00,-78.88,-4.77
September,19:30,-72.66,-9.06
September,20:00,-66.28,-13.18
September,20:30,-57.38,-18.35
September,21:00,-53.91,-20.17
September,21:30,-44.22,-24.59
September,22:00,-37.81,-26.99
September,22:30,-29.77,-29.44
September,23:00,-21.36,-31.33
September,23:30,-12.66,-32.62
October,0:00,-1.05,-44.46
October,0:30,9.31,-44.14
October,1:00,19.45,-43.05
October,1:30,29.15,-41.24
October,2:00,38.3,-38.8
October,2:30,46.85,-35.83
October,3:00,54.81,-32.42
October,3:30,62.25,-28.67
October,4:00,69.24,-24.67
October,4:30,75.87,-20.48
October,5:00,82.23,-16.16
October,5:30,88.4,-11.78
October,6:00,94.46,-7.37
October,6:30,100.49,-2.96
October,7:00,106.56,1.55
October,7:30,112.73,5.49
October,8:00,119.05,9.38
October,8:30,125.6,13.07
October,9:00,132.41,16.46
October,9:30,139.51,19.51
October,10:00,146.93,22.13
October,10:30,154.65,24.27
October,11:00,162.64,25.87
October,11:30,170.84,26.88
October,12:00,179.16,27.26
October,12:30,-172.52,27
October,13:00,-164.28,26.12
October,13:30,-156.24,24.64
October,14:00,-148.46,22.61
October,14:30,-138.56,19.13
October,15:00,-132.65,16.58
October,15:30,-126.95,13.78
October,16:00,-120.36,10.15
October,16:30,-113.99,6.29
October,17:00,-107.79,2.33
October,17:30,-100.71,-2.8
October,18:00,-95.68,-6.49
October,18:30,-88.61,-11.62
October,19:00,-82.45,-16.01
October,19:30,-77.17,-19.61
October,20:00,-70.6,-23.84
October,20:30,-62.5,-28.54
October,21:00,-56.35,-31.69
October,21:30,-48.5,-35.17
October,22:00,-40.08,-38.24
October,22:30,-31.05,-40.79
October,23:00,-19.79,-43
October,23:30,-11.38,-43.98
November,0:00,-0.72,-54.39
November,0:30,13.42,-53.83
November,1:00,23.15,-52.68
November,1:30,34.1,-50.57
November,2:00,44.13,-47.8
November,2:30,54.66,-43.91
November,3:00,62.8,-40.15
November,3:30,69.06,-36.81
November,4:00,76.05,-32.62
November,4:30,82.61,-28.3
November,5:00,88.85,-23.92
November,5:30,94.88,-19.53
November,6:00,100.77,-15.18
November,6:30,106.62,-10.9
November,7:00,112.47,-6.75
November,7:30,118.39,-2.71
November,8:00,124.44,1.29
November,8:30,130.64,4.58
November,9:00,137.04,7.68
November,9:30,143.66,10.45
November,10:00,150.5,12.83
November,10:30,157.54,14.74
November,11:00,164.77,16.15
November,11:30,172.13,17.03
November,12:00,179.56,17.35
November,12:30,-173,17.1
November,13:00,-165.63,16.28
November,13:30,-158.38,14.93
November,14:00,-151.31,13.08
November,14:30,-144.45,10.75
November,15:00,-137.81,8.03
November,15:30,-130.33,4.42
November,16:00,-125.16,1.67
November,16:30,-119.1,-2.24
November,17:00,-113.16,-6.27
November,17:30,-107.3,-10.41
November,18:00,-101.46,-14.67
November,18:30,-95.58,-19.02
November,19:00,-89.57,-23.41
November,19:30,-83.36,-27.79
November,20:00,-76.84,-32.12
November,20:30,-69.91,-36.32
November,21:00,-62.42,-40.34
November,21:30,-54.24,-44.08
November,22:00,-45.25,-47.43
November,22:30,-35.33,-50.28
November,23:00,-26.35,-52.15
November,23:30,-10.84,-54.02
December,0:00,-5.74,-59.03
December,0:30,7.66,-58.96
December,1:00,20.67,-57.88
December,1:30,32.77,-55.9
December,2:00,43.7,-53.18
December,2:30,53.44,-49.89
December,3:00,62.13,-46.17
December,3:30,69.94,-42.16
December,4:00,77.07,-37.94
December,4:30,83.69,-33.61
December,5:00,89.92,-29.23
December,5:30,95.89,-24.84
December,6:00,101.69,-20.5
December,6:30,108.35,-15.55
December,7:00,113.1,-12.12
December,7:30,118.84,-8.16
December,8:00,124.66,-4.39
December,8:30,130.62,-0.66
December,9:00,136.73,2.46
December,9:30,143.03,5.18
December,10:00,149.51,7.57
December,10:30,156.17,9.55
December,11:00,163,11.07
December,11:30,169.95,12.09
December,12:00,176.98,12.59
December,12:30,-174.79,12.49
December,13:00,-168.94,11.98
December,13:30,-162.01,10.88
December,14:00,-155.2,9.3
December,14:30,-148.56,7.25
December,15:00,-142.11,4.8
December,15:30,-135.84,2.05
December,16:00,-129.75,-1.25
December,16:30,-123.82,-4.92
December,17:00,-118.01,-8.72
December,17:30,-112.28,-12.7
December,18:00,-104.68,-18.26
December,18:30,-100.86,-21.12
December,19:00,-95.04,-25.47
December,19:30,-89.04,-29.86
December,20:00,-82.76,-34.24
December,20:30,-76.09,-38.56
December,21:00,-68.87,-42.75
December,21:30,-60.94,-46.72
December,22:00,-52.11,-50.39
December,22:30,-42.21,-53.61
December,23:00,-31.1,-56.23
December,23:30,-18.85,-58.09
